AE 771 — Nozzle Coordinates
==========================================

RAO NOZZLE
------------------------------------------
      x (in)        y (in)       -y (in)
   89.681148     38.135413    -38.135413
   90.493627     38.335472    -38.335472
   91.309390     38.535532    -38.535532
   92.128438     38.735591    -38.735591
   92.950772     38.935651    -38.935651
   93.776391     39.135710    -39.135710
   94.605295     39.335770    -39.335770
   95.437484     39.535829    -39.535829
   96.272958     39.735889    -39.735889
   97.111717     39.935948    -39.935948
   97.953762     40.136007    -40.136007
   98.799091     40.336067    -40.336067
   99.647706     40.536126    -40.536126
  100.499606     40.736186    -40.736186
  101.354791     40.936245    -40.936245
  102.213261     41.136305    -41.136305
  103.075016     41.336364    -41.336364
  103.940056     41.536424    -41.536424
  104.808382     41.736483    -41.736483
  105.679993     41.936543    -41.936543
  106.554888     42.136602    -42.136602
  107.433069     42.336662    -42.336662
  108.314535     42.536721    -42.536721
  109.199287     42.736780    -42.736780
  110.087323     42.936840    -42.936840
  110.978645     43.136899    -43.136899
  111.873251     43.336959    -43.336959
  112.771143     43.537018    -43.537018
  113.672320     43.737078    -43.737078
  114.576782     43.937137    -43.937137
  115.484529     44.137197    -44.137197
  116.395561     44.337256    -44.337256
  117.309879     44.537316    -44.537316
  118.227481     44.737375    -44.737375
  119.148369     44.937434    -44.937434
  120.072542     45.137494    -45.137494
  121.000000     45.337553    -45.337553


CONICAL NOZZLE
------------------------------------------
      x (in)        y (in)       -y (in)
   -7.283200     10.300000    -10.300000
   -7.125868      9.892110     -9.892110
   -6.968536      9.541064     -9.541064
   -6.811204      9.230399     -9.230399
   -6.653873      8.950512     -8.950512
   -6.496541      8.695217     -8.695217
   -6.339209      8.460246     -8.460246
   -6.181877      8.242504     -8.242504
   -6.024545      8.039664     -8.039664
   -5.867214      7.849920     -7.849920
   -5.709882      7.671840     -7.671840
   -5.552550      7.504263     -7.504263
   -5.395218      7.346235     -7.346235
   -5.237886      7.196957     -7.196957
   -5.080554      7.055757     -7.055757
   -4.923223      6.922059     -6.922059
   -4.765891      6.795369     -6.795369
   -4.608559      6.675257     -6.675257
   -4.451227      6.561348     -6.561348
   -4.293895      6.453311     -6.453311
   -4.136564      6.350855     -6.350855
   -3.979232      6.253721     -6.253721
   -3.821900      6.161677     -6.161677
   -3.664568      6.074517     -6.074517
   -3.507236      5.992056     -5.992056
   -3.349905      5.914126     -5.914126
   -3.192573      5.840577     -5.840577
   -3.035241      5.771273     -5.771273
   -2.877909      5.706090     -5.706090
   -2.720577      5.644918     -5.644918
   -2.563245      5.587655     -5.587655
   -2.405914      5.534210     -5.534210
   -2.248582      5.484499     -5.484499
   -2.091250      5.438448     -5.438448
   -1.933918      5.395990     -5.395990
   -1.776586      5.357064     -5.357064
   -1.619255      5.321614     -5.321614
   -1.461923      5.289593     -5.289593
   -1.304591      5.260956     -5.260956
   -1.147259      5.235666     -5.235666
   -0.989927      5.213690     -5.213690
   -0.832596      5.194999     -5.194999
   -0.675264      5.179570     -5.179570
   -0.517932      5.167382     -5.167382
   -0.360600      5.158421     -5.158421
   -0.203268      5.152675     -5.152675
   -0.045936      5.150137     -5.150137
    0.111395      5.150803     -5.150803
    0.268727      5.154675     -5.154675
    0.426059      5.161758     -5.161758
    0.583391      5.172060     -5.172060
    0.740723      5.185595     -5.185595
    0.898054      5.202378     -5.202378
    1.055386      5.222433     -5.222433
    1.212718      5.245784     -5.245784
    1.370050      5.272462     -5.272462
    1.527382      5.302502     -5.302502
    1.684713      5.335944     -5.335944
    1.842045      5.372834     -5.372834
    1.999377      5.413223     -5.413223
    1.999377      5.413223     -5.413223
    2.748119      5.613848     -5.613848
    3.496861      5.814473     -5.814473
    4.245603      6.015097     -6.015097
    4.994345      6.215722     -6.215722
    5.743086      6.416347     -6.416347
    6.491828      6.616972     -6.616972
    7.240570      6.817596     -6.817596
    7.989312      7.018221     -7.018221
    8.738054      7.218846     -7.218846
    9.486796      7.419471     -7.419471
   10.235538      7.620096     -7.620096
   10.984279      7.820720     -7.820720
   11.733021      8.021345     -8.021345
   12.481763      8.221970     -8.221970
   13.230505      8.422595     -8.422595
   13.979247      8.623219     -8.623219
   14.727989      8.823844     -8.823844
   15.476731      9.024469     -9.024469
   16.225472      9.225094     -9.225094
   16.974214      9.425719     -9.425719
   17.722956      9.626343     -9.626343
   18.471698      9.826968     -9.826968
   19.220440     10.027593    -10.027593
   19.969182     10.228218    -10.228218
   20.717924     10.428842    -10.428842
   21.466665     10.629467    -10.629467
   22.215407     10.830092    -10.830092
   22.964149     11.030717    -11.030717
   23.712891     11.231341    -11.231341
   24.461633     11.431966    -11.431966
   25.210375     11.632591    -11.632591
   25.959117     11.833216    -11.833216
   26.707858     12.033841    -12.033841
   27.456600     12.234465    -12.234465
   28.205342     12.435090    -12.435090
   28.954084     12.635715    -12.635715
   29.702826     12.836340    -12.836340
   30.451568     13.036964    -13.036964
   31.200310     13.237589    -13.237589
   31.949051     13.438214    -13.438214
   32.697793     13.638839    -13.638839
   33.446535     13.839464    -13.839464
   34.195277     14.040088    -14.040088
   34.944019     14.240713    -14.240713
   35.692761     14.441338    -14.441338
   36.441503     14.641963    -14.641963
   37.190244     14.842587    -14.842587
   37.938986     15.043212    -15.043212
   38.687728     15.243837    -15.243837
